"Time","Ввод 2 суммарный","Ввод 1 суммарный___"
2020-06-22 11:00:00,47248,50533
2020-06-22 12:00:00,44469,48962
2020-06-22 13:00:00,49536,45790
2020-06-22 14:00:00,50336,44758
2020-06-22 15:00:00,50655,43360
2020-06-22 16:00:00,47936,46049
2020-06-22 17:00:00,56620,45551
2020-06-22 18:00:00,53215,48471
2020-06-22 19:00:00,57529,56137
2020-06-22 20:00:00,64271,58465
2020-06-22 21:00:00,66317,61086
2020-06-22 22:00:00,64953,56460
2020-06-22 23:00:00,56249,50007
2020-06-23 00:00:00,46890,39752
2020-06-23 01:00:00,41553,34133
2020-06-23 02:00:00,34818,32075
2020-06-23 03:00:00,32908,31065
2020-06-23 04:00:00,27360,26254
2020-06-23 05:00:00,28454,27061
2020-06-23 06:00:00,29767,30523
2020-06-23 07:00:00,33141,32835
2020-06-23 08:00:00,37215,37136
2020-06-23 09:00:00,44854,42145
2020-06-23 10:00:00,45033,44157
2020-06-23 11:00:00,43341,46419
2020-06-23 12:00:00,48056,46460
2020-06-23 13:00:00,47687,46646
2020-06-23 14:00:00,52954,45439
2020-06-23 15:00:00,56219,42085
2020-06-23 16:00:00,50463,45694
2020-06-23 17:00:00,54653,48953
2020-06-23 18:00:00,51762,46436
2020-06-23 19:00:00,55279,50330
2020-06-23 20:00:00,52152,52288
2020-06-23 21:00:00,60280,57148
2020-06-23 22:00:00,59882,55066
2020-06-23 23:00:00,55156,44234
2020-06-24 00:00:00,46453,40503
2020-06-24 01:00:00,38093,38446
2020-06-24 02:00:00,33028,32688
2020-06-24 03:00:00,30614,29679
2020-06-24 04:00:00,27579,25922
2020-06-24 05:00:00,27138,25699
2020-06-24 06:00:00,28585,27161
2020-06-24 07:00:00,32613,33777
2020-06-24 08:00:00,42656,40621
2020-06-24 09:00:00,48660,52935
2020-06-24 10:00:00,55165,56989
2020-06-24 11:00:00,61115,51299
2020-06-24 12:00:00,57885,51266
2020-06-24 13:00:00,55113,47965
2020-06-24 14:00:00,56327,52148
2020-06-24 15:00:00,55556,52442
2020-06-24 16:00:00,54877,49562
2020-06-24 17:00:00,58224,47605
2020-06-24 18:00:00,58098,49522
2020-06-24 19:00:00,55301,50850
2020-06-24 20:00:00,60523,54834
2020-06-24 21:00:00,61013,58260
2020-06-24 22:00:00,62104,57538
2020-06-24 23:00:00,52977,48838
2020-06-25 00:00:00,41544,42731
2020-06-25 01:00:00,36045,36576
2020-06-25 02:00:00,33552,33833
2020-06-25 03:00:00,29126,30001
2020-06-25 04:00:00,25134,26141
2020-06-25 05:00:00,26952,26630
2020-06-25 06:00:00,31786,29312
2020-06-25 07:00:00,36308,33950
2020-06-25 08:00:00,41962,41948
2020-06-25 09:00:00,44546,44853
2020-06-25 10:00:00,50509,46082
2020-06-25 11:00:00,50802,44538
2020-06-25 12:00:00,49672,45677
2020-06-25 13:00:00,47492,50377
2020-06-25 14:00:00,49503,45508
2020-06-25 15:00:00,52868,44281
2020-06-25 16:00:00,49180,43924
2020-06-25 17:00:00,53093,42938
2020-06-25 18:00:00,55604,53307
2020-06-25 19:00:00,66942,54691
2020-06-25 20:00:00,65379,57571
2020-06-25 21:00:00,66177,60157
2020-06-25 22:00:00,59025,62089
2020-06-25 23:00:00,52098,51119
2020-06-26 00:00:00,46113,40590
2020-06-26 01:00:00,37906,32899
2020-06-26 02:00:00,32802,31491
2020-06-26 03:00:00,31511,28907
2020-06-26 04:00:00,27083,24819
2020-06-26 05:00:00,27396,26745
2020-06-26 06:00:00,30988,29685
2020-06-26 07:00:00,36524,34134
2020-06-26 08:00:00,39522,37665
2020-06-26 09:00:00,45238,41344
2020-06-26 10:00:00,45144,47591
2020-06-26 11:00:00,48065,44446
2020-06-26 12:00:00,50938,47151
2020-06-26 13:00:00,52543,49905
2020-06-26 14:00:00,53644,47213
2020-06-26 15:00:00,55819,45229
2020-06-26 16:00:00,54864,44594
2020-06-26 17:00:00,50635,49252
2020-06-26 18:00:00,48320,47277
2020-06-26 19:00:00,49090,53056
2020-06-26 20:00:00,56213,50123
2020-06-26 21:00:00,61557,58164
2020-06-26 22:00:00,61365,62530
2020-06-26 23:00:00,60322,54466
2020-06-27 00:00:00,49653,44069
2020-06-27 01:00:00,40294,37066
2020-06-27 02:00:00,32585,33269
2020-06-27 03:00:00,33542,30730
2020-06-27 04:00:00,28691,26547
2020-06-27 05:00:00,27090,26005
2020-06-27 06:00:00,27982,29420
2020-06-27 07:00:00,32956,36723
2020-06-27 08:00:00,41750,40882
2020-06-27 09:00:00,48002,45033
2020-06-27 10:00:00,55382,51676
2020-06-27 11:00:00,56963,52013
2020-06-27 12:00:00,59696,57714
2020-06-27 13:00:00,57083,52296
2020-06-27 14:00:00,58326,53137
2020-06-27 15:00:00,54527,48307
2020-06-27 16:00:00,53225,50000
2020-06-27 17:00:00,53281,51649
2020-06-27 18:00:00,49474,55494
2020-06-27 19:00:00,51003,54909
2020-06-27 20:00:00,51149,55498
2020-06-27 21:00:00,59647,58235
2020-06-27 22:00:00,59521,58404
2020-06-27 23:00:00,54693,53082
2020-06-28 00:00:00,45760,42487
2020-06-28 01:00:00,38449,36800
2020-06-28 02:00:00,35698,35283
2020-06-28 03:00:00,33486,31975
2020-06-28 04:00:00,27806,28325
2020-06-28 05:00:00,26696,28610
2020-06-28 06:00:00,29471,29105
2020-06-28 07:00:00,33687,33161
2020-06-28 08:00:00,37493,41152
2020-06-28 09:00:00,46187,51533
2020-06-28 10:00:00,56707,53706
2020-06-28 11:00:00,59423,55992
2020-06-28 12:00:00,57797,53428
2020-06-28 13:00:00,60062,50136
2020-06-28 14:00:00,61796,46735
2020-06-28 15:00:00,68508,50420
2020-06-28 16:00:00,67125,49812
2020-06-28 17:00:00,62175,55268
2020-06-28 18:00:00,62686,57569
2020-06-28 19:00:00,63806,56662
2020-06-28 20:00:00,62242,56815
2020-06-28 21:00:00,66981,60891
2020-06-28 22:00:00,64686,61985
2020-06-28 23:00:00,57945,51534
2020-06-29 00:00:00,46142,43374
2020-06-29 01:00:00,36121,36934
2020-06-29 02:00:00,34020,33644
2020-06-29 03:00:00,31546,32179
2020-06-29 04:00:00,27310,27527
2020-06-29 05:00:00,29268,27192
2020-06-29 06:00:00,31784,31436
2020-06-29 07:00:00,35466,31614
2020-06-29 08:00:00,38341,39071
2020-06-29 09:00:00,47077,40190
2020-06-29 10:00:00,46594,46426
2020-06-29 11:00:00,47949,49998
2020-06-29 12:00:00,48652,48581
2020-06-29 13:00:00,49794,51971
2020-06-29 14:00:00,52633,47672
2020-06-29 15:00:00,49439,43140
2020-06-29 16:00:00,50088,44637
2020-06-29 17:00:00,52657,47421
2020-06-29 18:00:00,54615,50608
2020-06-29 19:00:00,56515,50589
2020-06-29 20:00:00,67840,57032
2020-06-29 21:00:00,68508,57061
2020-06-29 22:00:00,65155,58764
2020-06-29 23:00:00,53914,47537
2020-06-30 00:00:00,44612,36526
2020-06-30 01:00:00,38388,33447
2020-06-30 02:00:00,31938,30486
2020-06-30 03:00:00,31438,29096
2020-06-30 04:00:00,25798,27192
2020-06-30 05:00:00,28030,28761
2020-06-30 06:00:00,30975,32852
2020-06-30 07:00:00,34880,32578
2020-06-30 08:00:00,38424,39706
2020-06-30 09:00:00,47261,39624
2020-06-30 10:00:00,46308,43509
2020-06-30 11:00:00,50549,45436
2020-06-30 12:00:00,49908,49206
2020-06-30 13:00:00,50276,45464
2020-06-30 14:00:00,49176,43986
2020-06-30 15:00:00,45812,45355
2020-06-30 16:00:00,47168,47788
2020-06-30 17:00:00,48629,50685
2020-06-30 18:00:00,51056,52411
2020-06-30 19:00:00,56291,55545
2020-06-30 20:00:00,58263,55621
2020-06-30 21:00:00,60610,60077
2020-06-30 22:00:00,64608,63587
2020-06-30 23:00:00,54917,47804
2020-07-01 00:00:00,42987,41600
2020-07-01 01:00:00,37581,36672
2020-07-01 02:00:00,33255,31545
2020-07-01 03:00:00,32477,31494
2020-07-01 04:00:00,26547,28618
2020-07-01 05:00:00,25969,28632
2020-07-01 06:00:00,27387,33781
2020-07-01 07:00:00,31422,32788
2020-07-01 08:00:00,39912,40147
2020-07-01 09:00:00,49487,48544
2020-07-01 10:00:00,55912,50836
2020-07-01 11:00:00,60888,46956
2020-07-01 12:00:00,51017,50957
2020-07-01 13:00:00,53788,50455
2020-07-01 14:00:00,58946,48683
2020-07-01 15:00:00,54052,50524
2020-07-01 16:00:00,60872,53073
2020-07-01 17:00:00,52479,54718
2020-07-01 18:00:00,51335,55795
2020-07-01 19:00:00,50891,53578
2020-07-01 20:00:00,55174,53817
2020-07-01 21:00:00,68491,59411
2020-07-01 22:00:00,66660,61163
2020-07-01 23:00:00,63093,49626
2020-07-02 00:00:00,52731,43130
2020-07-02 01:00:00,38617,35058
2020-07-02 02:00:00,35067,31952
2020-07-02 03:00:00,32242,32014
2020-07-02 04:00:00,28995,28176
2020-07-02 05:00:00,30268,28572
2020-07-02 06:00:00,32279,30149
2020-07-02 07:00:00,36793,34914
2020-07-02 08:00:00,42132,40599
2020-07-02 09:00:00,55913,51392
2020-07-02 10:00:00,53217,43105
2020-07-02 11:00:00,52832,50248
2020-07-02 12:00:00,55620,49873
2020-07-02 13:00:00,53793,47181
2020-07-02 14:00:00,50663,51059
2020-07-02 15:00:00,55530,49460
2020-07-02 16:00:00,57601,52107
2020-07-02 17:00:00,60492,60722
2020-07-02 18:00:00,69767,61724
2020-07-02 19:00:00,77225,67159
2020-07-02 20:00:00,81492,69712
2020-07-02 21:00:00,87438,73868
2020-07-02 22:00:00,99677,72939
2020-07-02 23:00:00,71920,55963
2020-07-03 00:00:00,62200,45165
2020-07-03 01:00:00,46450,38655
2020-07-03 02:00:00,39054,33134
2020-07-03 03:00:00,35638,32734
2020-07-03 04:00:00,32099,28087
